from_currency,to_currency,exchange_rate,effective_date
USD,AUD,1.4738,2024-01-02
USD,BGN,1.7851,2024-01-02
USD,BRL,4.8888,2024-01-02
USD,CAD,1.3294,2024-01-02
USD,CHF,0.84931,2024-01-02
USD,CNY,7.1435,2024-01-02
USD,CZK,22.533,2024-01-02
USD,DKK,6.8046,2024-01-02
USD,EUR,0.91274,2024-01-02
USD,GBP,0.79085,2024-01-02
USD,HKD,7.8139,2024-01-02
USD,HUF,348.76,2024-01-02
USD,IDR,15524.0,2024-01-02
USD,ILS,3.624,2024-01-02
USD,INR,83.32,2024-01-02
USD,ISK,137.55,2024-01-02
USD,JPY,142.1,2024-01-02
USD,KRW,1313.23,2024-01-02
USD,MXN,17.058,2024-01-02
USD,MYR,4.6025,2024-01-02
USD,NOK,10.2971,2024-01-02
USD,NZD,1.5947,2024-01-02
USD,PHP,55.66,2024-01-02
USD,PLN,3.9894,2024-01-02
USD,RON,4.5368,2024-01-02
USD,SEK,10.1812,2024-01-02
USD,SGD,1.3265,2024-01-02
USD,THB,34.285,2024-01-02
USD,TRY,29.726,2024-01-02
USD,ZAR,18.5889,2024-01-02
USD,AUD,1.4869,2024-01-03
USD,BGN,1.7912,2024-01-03
USD,BRL,4.9326,2024-01-03
USD,CAD,1.3347,2024-01-03
USD,CHF,0.85374,2024-01-03
USD,CNY,7.1487,2024-01-03
USD,CZK,22.598,2024-01-03
USD,DKK,6.8304,2024-01-03
USD,EUR,0.91583,2024-01-03
USD,GBP,0.79192,2024-01-03
USD,HKD,7.8081,2024-01-03
USD,HUF,348.7,2024-01-03
USD,IDR,15564.0,2024-01-03
USD,ILS,3.6512,2024-01-03
USD,INR,83.3,2024-01-03
USD,ISK,138.02,2024-01-03
USD,JPY,143.02,2024-01-03
USD,KRW,1311.73,2024-01-03
USD,MXN,17.097,2024-01-03
USD,MYR,4.631,2024-01-03
USD,NOK,10.3672,2024-01-03
USD,NZD,1.6041,2024-01-03
USD,PHP,55.59,2024-01-03
USD,PLN,3.9965,2024-01-03
USD,RON,4.554,2024-01-03
USD,SEK,10.2496,2024-01-03
USD,SGD,1.3282,2024-01-03
USD,THB,34.45,2024-01-03
USD,TRY,29.781,2024-01-03
USD,ZAR,18.8048,2024-01-03
USD,AUD,1.4963,2024-01-08
USD,BGN,1.7868,2024-01-08
USD,BRL,4.8974,2024-01-08
USD,CAD,1.3385,2024-01-08
USD,CHF,0.85036,2024-01-08
USD,CNY,7.1622,2024-01-08
USD,CZK,22.372,2024-01-08
USD,DKK,6.8166,2024-01-08
USD,EUR,0.91358,2024-01-08
USD,GBP,0.78705,2024-01-08
USD,HKD,7.8073,2024-01-08
USD,HUF,345.01,2024-01-08
USD,IDR,15528.0,2024-01-08
USD,ILS,3.7133,2024-01-08
USD,INR,83.11,2024-01-08
USD,ISK,137.68,2024-01-08
USD,JPY,144.52,2024-01-08
USD,KRW,1320.06,2024-01-08
USD,MXN,16.8995,2024-01-08
USD,MYR,4.651,2024-01-08
USD,NOK,10.38,2024-01-08
USD,NZD,1.6085,2024-01-08
USD,PHP,55.65,2024-01-08
USD,PLN,3.9709,2024-01-08
USD,RON,4.543,2024-01-08
USD,SEK,10.2407,2024-01-08
USD,SGD,1.3311,2024-01-08
USD,THB,35.025,2024-01-08
USD,TRY,29.894,2024-01-08
USD,ZAR,18.7265,2024-01-08
USD,AUD,1.4922,2024-01-10
USD,BGN,1.7868,2024-01-10
USD,BRL,4.8884,2024-01-10
USD,CAD,1.3383,2024-01-10
USD,CHF,0.85291,2024-01-10
USD,CNY,7.1694,2024-01-10
USD,CZK,22.439,2024-01-10
USD,DKK,6.8136,2024-01-10
USD,EUR,0.91358,2024-01-10
USD,GBP,0.78589,2024-01-10
USD,HKD,7.8204,2024-01-10
USD,HUF,345.65,2024-01-10
USD,IDR,15560.0,2024-01-10
USD,ILS,3.7625,2024-01-10
